name,brand,price_pkr,url,source,ram_gb,storage_gb,processor,display_inches
Daraz Like New Laptops - Samsung | Chromebook 500C | 16GB Storage | 4GB RAM | 1.6 GHz Intel Celeron | Dual Core | 11.6 I,Samsung,104349,#,Daraz.pk,4,16,Intel Celeron,11.6
Daraz Like New Laptops - Lenovo N22/N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,Lenovo,154782,#,Daraz.pk,4,16,Intel i5,15.6
Daraz Like New - Lenovo Chromebook N21 | 4GB RAM | 16GB Storage | 11.6″ Display | Rotatable Webcam | 8 Hours Battery | F,Lenovo,213693,#,Daraz.pk,4,16,Intel i5,15.6
"Dell Chromebook 3100 - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore - Update 2029",Dell,87897,#,Daraz.pk,4,16,Intel Celeron,11.6
"Hp Chromebook G8 ( TOUCH SCREEN ) - 4GB Ram DDR4 - 32GB SSD - 11.6"" Screen Size - Chrome OS -",HP,39796,#,Daraz.pk,4,32,Intel i5,11.6
"LENOVO CHROMEBOOK N21 | 2GB RAM | 16GB SSD EMMC | 11.6"" SCREEN | WINDOWS 10 CONVERTED",Lenovo,148489,#,Daraz.pk,2,16,Intel i5,11.6
Lenovo Thinkpad – X230 – Core i5 3rd Gen – 4GB RAM – 250GB – 12.5″ FREE LAPTOP BAG - Daraz like new laptops,Lenovo,23999,#,Daraz.pk,4,512,Intel i5,15.6
"Dell 3180 Chromebook 11.6 inches HD screen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS",Dell,130207,#,Daraz.pk,4,16,Intel i5,11.6
"Asus Chromebook C202s Windows | celeron processor | 4GB RAM | 16GB SSD EMMC | 11.6"" screen | windows 10 Converted",ASUS,185369,#,Daraz.pk,4,16,Intel Celeron,11.6
"Lenovo Chromebook 100e ,300e touch screen,hp g8,hp g4/g5 chrome book | 11.6” Display | Intel N3350 | 4GB RAM, 32GB Stora",HP,102924,#,Daraz.pk,4,32,Intel i5,15.6
"HP Chromebook 11 G6 EE 11.6"" Chromebook Intel Celeron 1.10 GHz 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Play Store, Chrome ",HP,76524,#,Daraz.pk,4,16,Intel Celeron,11.6
Lenovo ThinkPad X230 - Core i5 - 3rd Gen - 4 GB RAM - 250 GB - 12..5″ Windows 10 - (Free Laptop Bag) - Daraz like new la,Lenovo,21999,#,Daraz.pk,4,512,Intel i5,15.6
"Apple MacBook Air 11.6 Inch 2013 Core i5, 4GB, 128GB SSD"" - Daraz Like New Laptops",Apple,29999,#,Daraz.pk,8,128,Intel i5,11.6
"LENOVO CHROMEBOOK 100E | 4GB RAM DDR4 | 32GB SSD EMMC | 11.6"" SCREEN | PLAYSTORE SUPPORTED | AUE UPDATE 2027",Lenovo,128099,#,Daraz.pk,4,32,Intel i5,11.6
"Apple MacBook Pro A1278 - 8GB RAM, 500GB Storage - Dual-Core i5 2.5GHz - Mid 2012 13.3-inch LED Display - Dual Operating",Apple,41999,#,Daraz.pk,8,512,Intel i5,15.6
"Hp Chromebook 11 G6 Touchscreen | 4GB RAM DDR4 | 16GB SSD EMMC | Playstore supported | 11.6"" Touchscreen | Update 2027",HP,200100,#,Daraz.pk,4,16,Intel i5,11.6
"Apple MacBook Air A1370 – 11.6"" HD Display, Intel Core i5, 2GB RAM, 64GB SSD, Silver – Slim & Lightweight Design, Like N",Apple,23999,#,Daraz.pk,2,64,Intel i5,11.6
Lenovo Thinkpad T470 - Core i5 7th Generation - 8GB DDR4 - 256GB SSD - 14inch Screen - FREE LAPTOP BAG - Daraz like new ,Lenovo,48499,#,Daraz.pk,8,256,Intel i5,14.0
"Apple MacBook Air A1365 (2013) – 11.6"" Display, Intel Core i5, 4GB RAM, 128GB SSD, Silver – Daraz Like New Laptop with 1",Apple,29999,#,Daraz.pk,4,128,Intel i5,11.6
"Dell Chromebook 11 3100 – 11.6"" HD | Touch & Non-Touch Options | Intel Celeron N4000 | 4GB RAM | 32GB eMMC | Chrome OS |",Dell,131505,#,Daraz.pk,4,32,Intel Celeron,11.6
"Dell Chromebook 3100 | 4GB RAM | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN SIZE",Dell,241064,#,Daraz.pk,4,16,Intel i5,11.6
Premium Dell Venue 5130 Pro Windows Tablet - Touch Detachable 2GB RAM 64GB ROM IPS Display Dual Web Cam Detachable Keybo,Dell,26999,#,Daraz.pk,2,64,Intel i5,15.6
Daraz Like New Laptop - Lenovo Thinkpad – X230 – Core i5 3rd Gen – 4 GB RAM – 250 GB – 12.5″ - Refurbished - FREE LAPTOP,Lenovo,20499,#,Daraz.pk,4,512,Intel i5,15.6
"Lenovo IdeaPad MIIX 520 2-In-1 Touchscreen Laptop - Core i5 8th Generation - Fingerprint Sensor - 12.2"" FHD Display - RA",Lenovo,44500,#,Daraz.pk,8,512,Intel i5,12.2
"Lenovo ThinkPad T460 Core i5 6th Gen, 16GB, 256GB SSD, 14″ LED (Windows 11 Licensed) FREE LAPTOP BAG)",Lenovo,43999,#,Daraz.pk,8,256,Intel i5,15.6
HP Chromebook 11 G4/G5 | Wwindows 10 - 16GB Storage | 4GB RAM | 11.6″ Display | | Black - Daraz Like New Laptops,HP,221532,#,Daraz.pk,4,16,Intel i5,15.6
"Dell Chromebook 11 3180 | 4GB RAM | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN DISPLAY",Dell,195713,#,Daraz.pk,4,16,Intel i5,11.6
Dell 3180 Chromebook Windows 10 Edition Best for Studying and Office Working MS Office Install,Dell,57395,#,Daraz.pk,8,512,Intel i5,15.6
"HP ProBook X360 11 G2 2-in-1 11.6 Inch Touchscreen, Intel Core M3 7th Gen 4GB RAM, 128GB SSD, Windows 10 Pro - Daraz Lik",HP,31999,#,Daraz.pk,4,128,Apple M3,11.6
"Hp Chromebook 11 G4 Windows | celeron processor | 4GB RAM | 16GB SSD EMMC | 11.6"" screen",HP,42200,#,Daraz.pk,4,16,Intel Celeron,11.6
Hp Original Chromebook with 64GB Storage 4GB Ram Best for Online Working Easy to Carry Chromebook With Windows 10 Pre In,HP,15500,#,Daraz.pk,4,64,Intel i5,15.6
Daraz Like New 3189 Chromebook 360 Touch Display 4GB RAM 32GB GB STORAGE Battery Backup 5 Hours Plus Display Size 11.6 I,Unknown,15499,#,Daraz.pk,4,512,Intel i5,11.6
Microsoft Surface Pro 6 - Like New Laptops - Intel Core i7 - 8th generation - 16 GB RAM - 512 GB NVME SSD - 6 Months War,Microsoft,92000,#,Daraz.pk,16,512,Intel i7,15.6
"Acer Nitro Lite NL16-71G-55JR Gaming Laptop 13th Gen Core i5-13420H, 16GB DDR5, 512GB SSD, NVIDIA RTX 3050 6GB Graphics,",Acer,199999,#,Daraz.pk,16,512,AMD Ryzen 5,16.0
LAPTOP HP EliteBook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 128GB SSD AND 500GB HDD- 12.5inch Screen - FREE LAP,HP,47999,#,Daraz.pk,8,128,Intel i5,12.5
